Rk,Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,Date_of_Birth,Goals_per_90,Shot_Accuracy,Goal_Conversion_Rate
1,Max Aarons,ENG,DF,Bournemouth Jr.,23.02719343797948,10.210690897484582,0.0,1.1525849224083191,0.0,0.0,0.0775470394605461,0.0,0.0,0.2930031659797224,20.914078801368873,0.0,0.0,0.0,0.0,0.0,0.0198995022221456,0.0,1986-12-07,0.0,0.0,0.0
529 II,Fabio Vieira II,POR Sr.,"MF,FW II",Arsenal II,25.411194175094305,2.9528979519752365,0.8262679518584275,4.65437251908131,0.8348335025602671,21.10552816854331,1.277765837725583,0.3470012743636146,0.0,0.0,19.345173244681163,0.0,0.9754373855238464,1.0087677093294016,1.0774281428494237,0.3702886289853377,0.0780593204017136,-0.1871518964566455,,0.27981595209063176,17.936542447725014,17.75251010680851
414,Ivan Perišić,CRO,FW,Tottenham,35.0,1.1,0.0,2.0,0.0,0.0,1.75,0.0,0.0,0.2930031659797224,13.0,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,,0.0,0.0,0.0
179 Sr.,Evan Ferguson Sr.,IRL II,FW,Brighton Jr.,22.72175756254071,16.183710263748566,6.31328630150186,34.45005217859756,16.556213402944003,56.20683908756332,2.318506401101464,1.536682433434437,0.1558585025946696,0.2879519815572993,13.913029604269978,0.0,0.0,0.0,4.51436767336913,3.881310723473173,0.1279740190884548,1.614230877217442,1996-08-11,0.39010129312828784,48.05860181898278,18.325912160516413
298,Keane Lewis-Potter,ENG,"DF,FW",Brentford,23.0,13.4,2.0,33.0,14.0,42.4,2.46,1.04,0.06,0.14,12.9,0.0,0.0,0.0,4.3,4.3,0.13,-2.3,,0.14925373134328357,42.42424242424242,6.0606060606060606
107,Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33.0,8.2,0.0,2.0,0.0,0.0,0.24,0.0,0.0,0.2930031659797224,23.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,,0.0,0.0,0.0
8,Brandon Aguilera,CRC,FW,Nott'ham Forest,20.0,0.1,0.0,0.0,0.0,31.144801929744617,0.0,0.0,0.08967400451277617,0.2930031659797224,16.607032522832604,0.0,0.0,0.0,0.0,0.0,0.10167988567006811,0.0,,0.0,,
410 Jr.,Myles Peart-Harris Sr.,ENG II,"DF,MF",Brentford Sr.,19.706044963587154,0.0821030493340681,0.0,0.0,0.0,31.144801929744617,0.0,0.0,0.08967400451277617,0.2930031659797224,16.607032522832604,0.0,0.0,0.0,0.0,0.0,0.10167988567006811,0.0,,0.0,,
325,Remi Matthews,ENG,GK,Crystal Palace,30.0,0.0,0.0,0.0,0.0,31.144801929744617,0.0,0.0,0.08967400451277617,0.2930031659797224,16.607032522832604,0.0,0.0,0.0,0.0,0.0,0.10167988567006811,0.0,1983-04-09,,,
Rk,Player,N,Pos,Squad,25.80574439872657,12.221896622147554,1.732704723899454,15.049887798029594,5.086075281953166,31.144801929744617,1.3964618281447314,0.43306169190365734,0.08967400451277617,0.2930031659797224,16.607032522832604,0.4158278060564607,0.14238310862950987,0.15729279924615147,1.732065452335623,1.610525818608409,0.10167988567006811,-0.018017621712435424,,0.14177052690493092,33.7947720953711,11.513074031862937
216,Malo Gusto,FRA,DF,Chelsea,20.0,17.0,0.0,11.0,2.0,18.2,0.65,0.12,0.0,0.0,18.8,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,,0.0,18.181818181818183,0.0
546,Willian,BRA,FW,Fulham,35.0,20.4,4.0,41.0,15.0,36.6,2.01,0.74,0.05,0.13,20.6,2.0,2.0,2.0,4.9,3.4,0.08,-0.9,2003-01-13,0.19607843137254904,36.58536585365854,9.75609756097561
